Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.210643419,0.037234781,0.28998763,0.406424217,0.345148783,0.280454641,0.253727945,0.262555711,0.245101422,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.678106654,0.978174681,1.578573584,1.803714725,1.697965557,1.697279396,1.90006971,1.602648034,1.577162624,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,2.988109843,2.830379965,3.312560602,3.30557127,3.477108092,3.525557358,3.735802777,3.854556576,3.69915599,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,7.467335669,8.019284294,6.122594702,5.867410176,5.916884031,5.901775324,5.832906215,5.969786312,6.072370208,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.431743615,0.581961496,1.244091538,1.262824619,1.361181055,1.295075373,1.664740736,1.240245462,1.202860579,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,4.515720957,4.534545359,5.956979597,5.751963519,5.800097335,5.729937934,5.704803267,5.839546416,5.896558655,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.438151412,3.854991948,4.606804136,4.644106454,4.625259616,4.589774171,4.588229602,4.664010748,4.619085482,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,..,1.128917501,1.463068919,1.709501839,1.974479488,1.897040086,1.898719374,1.642004093,1.755976031,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,7.847447264,26.19487524,24.67052887,24.50751622,13.15772231,8.353561008,8.410064178,8.610373679,8.426910901,..,..,..
