genotype,area,length,width,distal_width,proximal_width,L4_length,hinge_pcv,pcv_tip
control,1704484,2058.055,966.913,789.69,837.086,1839.587,801.095,1038.492
control,1638633,2016.109,943.38,771.706,795.277,1796.86,750.198,1046.662
control,1840490,2154.002,1003.149,807.557,864.047,1934.172,847.663,1086.509
control,1713032,2061.002,954.797,798.276,834.005,1851.114,798.304,1052.81
control,1852861,2142.076,996.289,822.268,858.189,1920.162,846.218,1073.944
control,1690970,2034.08,979.035,780.467,843.646,1830.039,781.499,1048.54
control,1757141,2085.002,981.66,792.687,846.191,1874.46,780.144,1094.316
control,1831932,2109.053,990.55,810.2,873.253,1913.739,806.883,1106.856
control,1658352,2016.036,939.58,762.378,822.35,1828.546,775.284,1053.262
control,1712484,2067.078,981.775,801.809,846.261,1858.986,785.089,1073.897
control,1843854,2148.019,1017.358,816.551,867,1924.799,823.663,1101.136
control,1884694,2148.008,1014.75,807.201,882.082,1931.154,829.933,1101.221
control,1676711,2055.02,966.671,783.465,843.133,1844.749,783.649,1061.1
control,1627685,2022.002,951.681,762.213,822.197,1815.077,751.732,1063.345
control,1706792,2034.009,972.666,804.274,837.086,1820.543,764.882,1055.661
KibWT,1410447,1875,852.528,720.4,726.006,1729.845,719.525,1010.32
KibWT,1430418,1923.009,855.889,711.633,723.056,1753.279,732.7,1020.579
KibWT,1540149,1965.037,900.245,738.299,765.288,1800.962,798.304,1002.658
KibWT,1499795,1944.002,894.322,726.502,750.006,1779.589,741.753,1037.836
KibWT,1439821,1941.037,861.334,726.502,750,1743.932,770.673,973.259
KibWT,1492210,1986.02,867.628,738.39,750.006,1787.388,749.712,1037.676
KibWT,1401616,1917.038,843.342,711.405,738.006,1737.163,739.249,997.914
KibWT,1373808,1920.002,834.194,723.504,705.057,1737.477,737.811,999.666
KibWT,1494266,1965.057,873.742,717.508,756.214,1771.771,769.13,1002.641
KibWT,1487602,1941.009,870.745,723.305,774.093,1777.317,752.88,1024.437
KibWT,1429874,1938.084,867.519,744.387,726.006,1763.673,744.351,1019.322
KibWT,1368627,1896.949,833.385,710.056,714.762,1717.808,738,979.808
KibWT,1387596,1896.038,849.53,723.753,699.103,1733.971,721.13,1012.841
KibWT,1488328,1971.185,873.515,753.215,768.053,1793.902,752.516,1041.386
KibWT,1475018,1929.002,879.328,738.024,762.053,1779.321,742.571,1036.75
KibS677A,1094121,1725,717.157,624.115,582.031,1570.525,662.124,908.401
KibS677A,1016910,1668.024,693.162,609.266,552.033,1510.431,617.045,893.386
KibS677A,1071278,1695.13,729.154,615.066,588.275,1535.59,660.716,874.874
KibS677A,1086667,1734.003,708.229,618.182,573.008,1596.863,635.441,961.422
KibS677A,1081013,1692.17,696.006,630,576.031,1558.548,625.966,932.582
KibS677A,954751,1680.043,648.028,603.119,516.035,1523.979,596.638,927.341
KibS677A,960862,1614.627,675.959,618.59,555.13,1481.177,593.007,888.17
KibS677A,1013889,1666.429,685.288,607.454,549.205,1522.715,608.49,914.225
KibS677A,1029916,1705.056,671.91,621.338,538.439,1564.266,618.59,945.676
KibS677A,910855,1572.011,648.34,585.123,537.034,1417.944,597.369,820.575
KibS677A,976287,1641.134,669.33,591.122,540.075,1512.681,616.345,896.336
KibS677A,991091,1653.392,666.432,585.492,540.033,1500.315,632.573,867.742
KibS677A,1059705,1707.169,687.655,594.757,561.072,1553.122,667.283,885.839
KibS677A,970533,1659.098,672.328,588.191,552.073,1514.118,615,899.118
KibS677A,986034,1632.003,681,612,564.199,1495.027,596.283,898.744
